メニュー名,分量,カロリー,塩分,調理時間,画像URL,材料,作り方,URL
もちグラタン,4人分,約290kcal,1.0g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1391.jpg,"角もち: 8個(1個50g)
じゃがいも: 1個(150g)
玉ねぎ: 1/2個(100g)
生しいたけ: 4枚
ピーマン: 2個
ミートソース(缶詰): 100g
ピザ用チーズ: 80g
パセリ(みじん切り): 大さじ1
塩: 少々
こしょう: 少々","1 水タンクに水を入れる。(水位1以上)
2 もちは半分に切る。
3 じゃがいもは1mmの薄さにスライスして水にさらし、水分をふき取る。玉ねぎは薄切り、生しいたけとピーマンは細切りにする。
4 グラタン皿にバター(分量外)をぬり、3の食材を敷いて塩、こしょうをし、2のもちをのせ、ミートソースをのせる。その上にピザ用チーズを散らして角皿にのせ、上段に入れる。
まかせて調理 焼く → スタート
5 加熱後、パセリのみじん切りを散らす。
レシピ提供：ボブとアンジー　監修：料理家　橋村　一未",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1391
もち米シュウマイのほたてあんかけ,4人分,約155kcal,0.8g,16分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1286.jpg,"もち米: 70g
鶏ももひき肉または豚ひき肉: 120g
長ねぎ(みじん切り): 15g
しょうが(すりおろし): 5g
塩: 小さじ1/4
酒: 小さじ1
ごま油: 小さじ2
えび(正味): 40g
しょうゆ: 小さじ1
片栗粉: 小さじ1
チンゲン菜: 1株
塩: 少々
ごま油: 小さじ1
干し貝柱: 2個
水: 1カップ
鶏がらスープの素: 小さじ2/3
しょうゆ: 小さじ1/2
片栗粉: 大さじ1
水: 大さじ1","1 水タンクに水を入れる。(水位2)
2 もち米は洗って一晩浸水させ、ザルにあげて水気を切る。干し貝柱は分量の水につけ、ある程度柔らかくなったら手で細かくほぐしてそのまま浸けておく。
3 えびは粗めのみじん切りにし、しょうゆと片栗粉をまぶしておく。ひき肉に[A]を加えて粘りがでるまでよくこねてから、えびを混ぜ合わせる。
4 3を8等分し、まわりにもち米をまぶす。チンゲン菜を葉と茎に分け、茎は縦に4等分し、塩とごま油をまぶす。
5 角皿に調理網2枚をのせ、クッキングシートを敷いて4をのせる。空いたスペースに、チンゲン菜をのせる。チンゲン菜は葉を下にし、上に軸をのせるようにする。
6 5を上段に入れる。

※写真の付属品は、実際のものとは異なります。
まかせて調理 蒸す・ゆでる → スタート → 強め
7 [B](ほたてあん)を鍋に合わせて火にかけ煮立ったら一度火を止め、片栗粉と水をよく混ぜて加え、全体をよく混ぜてからもう一度火にかけフツフツしたら火を止める。
6 器にほたてあんをひき、蒸し上がったシュウマイ、チンゲン菜を盛る。
レシピ提供：ボブとアンジー　監修：家庭料理アドバイザー　たに　けいこ",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1286
もちのかにかまぼこカナッペ,4人分,,100g,9分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0317.jpg,"もち: 4個(200g)
かにかまぼこ: 100g
マヨネーズ: 大さじ3","1 もちを半分の厚みに切り、8切れにする。
2 1にかにかまぼこを等分にのせ、マヨネーズを等分に絞り出す。
3 2を角皿に並べ、下段に入れる。
手動調理 → グリル・予熱なし → 9～10分 → スタート
※角皿にクッキングシートを敷いてもよいでしょう。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0317
もやしチーズ,2人分,約193kcal,1.0g,10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0683.jpg,"もやし: 200g
ベーコン(細切り): 40g
ピザ用チーズ: 40g
塩、こしょう: 各少々
ブラックペッパー: 適量","1 水タンクに水を入れる。(水位2)
2 底の平らな耐熱容器に、もやしを広げ、塩、こしょうをする。
3 2の上にベーコン、ピザ用チーズを散らし、ブラックペッパーをふる。
4 角皿の中央に3を置き、上段に入れる。
お料理選択 → ヘルシオおすすめ → 8～10分　100メニュー → パパッと10分 → 蒸し → スタート
手動でするときは：蒸し物で約8～10分",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0683
もやしと豚の蒸し物,4人分,約265kcal,0.1g,11分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0803.jpg,"豚バラ薄切り肉: 240g
塩、こしょう: 各少々
酒: 大さじ2
おろししょうが: 少々
もやし: 400g
ニラ(ざく切り): 1束(100g)
好みのドレッシング: 適量","1 水タンクに水を入れる。(水位2)
2 金属製のザルにもやしを入れて洗い、ニラを加えて塩、こしょうをふる。
3 豚肉は半分の長さに切り、塩、こしょうをして[A]をもみこむ。野菜を少し押さえてから上に肉を広げてのせる。
4 角皿に3をのせて上段に入れる。
手動調理 → 蒸し物 → 約11分(2人分は約9分) → スタート
5 加熱後、皿に盛り付け、好みのドレッシングをかける。
≪お願い≫
角皿に水などが溜まります。取り出す際は、こぼれないようにゆっくり取り出してください。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0803
もやしのあえ物,4人分,約88kcal,0.2g,10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1128.jpg,"もやし: 200g
まいたけ(小房に分ける): 60g
オリーブオイル: 大さじ2
レモン汁・砂糖: 各小さじ2
はちみつ: 小さじ1
塩: 少々(1g)
ブラックペッパー: 少々(0.2g)","1 水タンクに水を入れる。(水位2)
2 もやしとまいたけを金属製のザルに入れて調理網にのせ、上段に入れる。
手動調理 → 蒸し物 → 約10分 → スタート
3 加熱後、もやしとまいたけの水気を絞り、[A]であえる。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1128
もやしベーコン,,約192kcal(全量),1.3g,18分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R2267.jpg,"もやし: 200g
ベーコン: 2枚
塩、こしょう: 各適量","1 水タンクに水を入れる。(水位1以上)
2 もやしは洗って水気をきる。ベーコンは1cm幅に切る。
3 アルミホイルの上に2をのせ、塩・こしょうをして、包む。
4 3を角皿にのせ、下段に入れる。

手動調理 → ウォーターオーブン → 予熱なし・1段 → 決定 → 170℃・18～20分 → スタート
5 加熱後、全体を混ぜる。
メインのおかずを一緒に加熱できます！
《まかせて調理(網焼き・揚げる)＆たっぷり温野菜》
《まかせて調理(焼く)＆たっぷり温野菜》
《まかせて調理(炒める)＆たっぷり温野菜》
《まかせて調理(蒸す・ゆでる)＆たっぷり温野菜》
※まかせて調理(蒸す・ゆでる)&たっぷり温野菜のときは、角皿に市販のアミをのせ、その上に食材をのせて下さい。(アルミホイルでフタはしません)
※メインのおかずと一緒に加熱した場合、単品で加熱したときと仕上がりが異なります。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R2267
モロッコいんげんとゆで卵のサラダ,4人分,約133kcal,1.7g,13分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1281.jpg,"モロッコいんげん: 200g
卵: 4個
ベビーリーフ: 適量
玉ねぎ(みじん切り): 大さじ4
にんにく(すりおろし): 少々
プレーンヨーグルト: 大さじ4
塩: 小さじ1
黒こしょう: 少々
オリーブオイル: 大さじ1","1 水タンクに水を入れる。(水位2)
2 角皿に調理網2枚をのせ、モロッコいんげんと卵を並べる。
3 2を上段に入れる。

※写真の付属品は、実際のものとは異なります。
まかせて調理 蒸す・ゆでる → スタート
4 加熱後、モロッコいんげんと卵をそれぞれ水にとり、モロッコいんげんは幅2cm程度に切り、卵は完全に冷めたら殻をむき4等分に切る。
5 ボウルに[A]を入れてよく混ぜ、モロッコいんげんを加えて和える。
6 器にベビーリーフ、ゆで卵、4を盛り付けます。
レシピ提供：ボブとアンジー　監修：家庭料理アドバイザー　たに　けいこ",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1281
モーニングセット(組み合わせ自在),2人分,約317kcal,1.4g,10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0992.jpg,食パン(6枚切り・常温): 2枚,"1 水タンクに水を入れる。(水位1以上)
2 食パンまたはお好みのパンメニュー(下記参照)を1品準備して、調理網の奥側にのせる。
《目玉焼きトースト》
《ミートサンドパン》
《ハムチーズトースト》
《ピザトースト》
《ツナマヨトースト》
《じゃこトースト》
《りんごトースト》
《ピザトースト(市販品)》
3 お好みのおかずメニュー(下記参照)を2品準備して、調理網の手前側にのせる。
(1品を倍量にして作ることもできます)
《目玉焼き》
《アスパラベーコン》
《ツナキャベツのカレーマヨ風味》
《ラペ》
《市販の加工済食品》
《卵焼き》
※角皿の奥側にパンメニュー、手前側におかずを並べます。

4人分の置きかた
4 3を上段に入れる。
お料理選択 → ヘルシオおすすめ → セットメニュー → モーニングセット・お弁当用おかず → モーニングセット(組み合わせ自在) → 分量選択 → スタート
手動でするときは：下段に入れ、ウォーターグリル・予熱なしで12～14分(自動加熱とは、棚位置が異なります。)
≪ポイント≫
●パンの種類・大きさ・厚み・保存状態により、焼けかたが異なるため様子を見ながら焼いてください。
●裏面の焼き色が表面に比べて薄く焼きあがります。裏面の焼き色を追加する場合は加熱後すぐに裏返し、「延長」で2～3分焼いてください。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0992
モーニングセット＆スープ,2人分,,80g,14分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0995.jpg,"マフィン: 2個
牛ひき肉: 80g
ピーマン(細切り): 2個
薄力粉: 大さじ1
ケチャップ: 大さじ3
ウスターソース: 小さじ1
塩、こしょう: 各少々
キャベツ(3cm角に切る): 40g
ツナ(缶詰): 70g
マヨネーズ: 大さじ1
カレー粉: 小さじ1/2
にんじん: 60g
レーズン: 15g
塩、こしょう: 各少々
オリーブオイル: 適量
レモン汁: 適量
アスパラガス: 2本
玉ねぎ(薄切り): 30g
コンソメ(顆粒): 小さじ2
水: 300mL
塩、こしょう: 各少々","1 水タンクに水を入れる。(水位2)
■モーニングセットの準備
2 マフィンは横半分に切る。
3 アルミホイルで型2個を作り、片方に混ぜ合せた[A]をまんべんなくのせる。
もう片方にキャベツを広げ、上から混ぜ合せた[B]をかける。
4 にんじんはスライサーで薄切りにしてからせん切りにする。
5 アルミホイルの上に4を広げ、レーズン、塩、こしょうをして包む。
6 アスパラガスはアルミホイルで包む。
7 角皿に調理網2枚をのせ、奥側に2をのせて、3、5、6を並べる。
※角皿の奥側にマフィン、手前側におかずを並べます。
■スープの準備
8 アルミホイルの型に玉ねぎを入れて、7の空いたスペースに並べ上段に入れる。耐熱容器2個にコンソメと水を等分に入れて角皿の奥側にのせ、下段に入れる。
(上段)

(下段)

お料理選択 → ヘルシオおすすめ → セットメニュー →→ 焼き蒸し同時2段メニュー → モーニングセット＆スープ → スタート
9 加熱後、マフィンに3の具をのせる。5のラペは[C]で味付けをする。たまねぎは、スープに入れる。
※スープの容器は熱くなっていますので、やけどに注意してください。
《モーニングセット＆スープのポイント》
●スープは角皿の奥側に置いてください。
他にもこんなメニューが組み合わせ自由！
モーニングセットバリエーション(上段)
《目玉焼きトースト》
《ミートサンドパン》
《ハムチーズトースト》
《ピザトースト》
《ツナマヨトースト》
《じゃこトースト》
《りんごトースト》
《ピザトースト(市販品)》
スープバリエーション
《中華スープ》
中華だし(顆粒)
しょうが(せん切り)…適量
ねぎ(小口切り) …適量
水…300mL
全材料を耐熱容器2個に等分に入れる。
《紙パック入りスープ(市販品)》
耐熱容器2個に150mL入れる。
スープを蒸し野菜に代えることもできます
角皿にアルミホイルを敷き、野菜(ブロッコリー、アスパラガスなど、約150g)をのせる。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0995
焼きいも,4人分,約297kcal,0.0g,33分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0057.jpg,さつまいも: 4本(1本250～300g),"1 水タンクに水を入れる。(水位1以上)
2 さつまいもは洗って水気をふき、フォークで数ヶ所穴を開ける。
※皮に穴を開けると加熱で皮がはじけるのが防げます。
3 角皿に2を並べ、下段に入れる。
お料理選択 → メニュー検索 → カテゴリーから探す → あぶり焼き・焼き物・ノンフライ → 焼きいも → サイズ選択 → スタート
※加熱中にさつまいもからアクが出ることがあります。角皿にアルミホイルを敷くと調理後のお手入れが楽です。
手動でするときは：太さ5cmまでの場合、ウォーターグリル・予熱なしで約33分。太さ5～7cmの場合、ウォーターオーブン・予熱なし1段で約50分。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0057
焼きオクラのおひたし,2人分,約19kcal,1.2g,13分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1030.jpg,"オクラ: 10本
ポン酢しょうゆ、かつお節: 各適量","1 水タンクに水を入れる。(水位1以上)
2 オクラは縦に切りこみを入れ、アルミホイルに重ならないように包む。
3 角皿に調理網をのせ、2をのせて、下段に入れる。
手動調理 → ウォーターグリル → 予熱なし → 13~15分→ スタート
4 加熱後、[A]をかける。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1030
焼きかぼちゃのコロコロサラダ,4人分,約107kcal,0.2g,9分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0054.jpg,"かぼちゃ(1cm角に切る): 300g
プレーンヨーグルト: 80g
マヨネーズ: 大さじ1
塩、こしょう: 各少々","1 水タンクに水を入れる。(水位1以上)
2 角皿にクッキングシートを敷き、かぼちゃを平らに入れる。
※クッキングシートは庫内壁面に接触しないようにしてください。
3 予熱する。(付属品・食品は入れません)
お料理選択 → メニュー検索 → カテゴリーから探す → あぶり焼き・焼き物・ノンフライ → 焼きかぼちゃのコロコロサラダ → 分量選択 → スタート
4 予熱が完了すれば、2を下段に入れる。
スタートを押す。
手動でするときは：ウォーターグリル・予熱ありで約9分(2人分は約5分)
5 混ぜ合わせた[A]であえ、好みの野菜と合わせる。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0054
焼きぎんなん,,約187kcal(全量),0.0g,12分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0460.jpg,ぎんなん(殻つき): 100g,"1 水タンクに水を入れる。(水位1以上)
2 破裂防止に、殻に割れ目を入れ、濃いめの塩水(水1カップに塩小さじ2)に約30分漬けておく。
※ぎんなん割りがあると便利です。ない場合は、ペンチか金づちで割ります。
※必ず殻に割れ目を入れてから加熱してください。割れ目を入れないと破裂するおそれがあります。
3 角皿に水気をきったぎんなんを広げ、下段に入れる。
手動調理 → ウォーターグリル → 予熱なし・約12分 → スタート
※記載の時間は、目安です。様子を見ながら加熱してください。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0460
焼き栗,,約492 kcal(全量),0.0g,,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0459.jpg,栗: 300g,"1 水タンクに水を入れる。(水位1以上)
2 破裂防止のため、栗に半周以上の長さで、渋皮に切れ目が入る深さの切りこみを入れる。

※写真のように縦または、横に必ず切りこみを入れてください。縦に入れる場合は、下の固い部分まで切りこみを入れます。切りこみを入れないと破裂するおそれがあります。
3 角皿に栗を並べ、下段に入れる。
手動調理 → ウォーターオーブン → 予熱なし・1段 → 決定 → 160℃・20～30分 → スタート
※温度は160℃以下で加熱してください。高温で焼くと破裂します。
※記載の時間は、目安です。様子を見ながら加熱してください。
4 加熱後、庫内で約10分蒸らす。
※加熱後、半分に切ってスプーンですくって食べます。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0459
焼き高野豆腐のあんかけ,4人分,約216kcal,1.5g,22分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0797.jpg,"高野豆腐: 4枚(1枚16g)
しょうゆ: 小さじ2
みりん: 大さじ1
ごま油: 小さじ1
おろしにんにく: 小さじ1/2
水: 70mL
片栗粉: 大さじ2
きくらげ(乾燥): 12g
にんじん: 30g
冷凍枝豆(解凍してさやから出す): 120g
鶏ひき肉: 100g
しょうゆ: 大さじ1と1/3
みりん: 大さじ1と1/3
水: 140mL
片栗粉: 小さじ2","1 水タンクに水を入れる。(水位1以上)
2 水でもどした高野豆腐を固く絞って水をきり、1枚をそれぞれ3等分に切る。バットや皿などに[A]を入れてよく混ぜ、高野豆腐を加えてときどき上下を返しながら10分程度おく。
3 2に片栗粉を入れて、まぶしつける。
4 きくらげは水でもどして1.5cm角に切り、にんじんは3cm長さの細切りにする。
5 底の平らな浅い耐熱容器に、4と枝豆、鶏ひき肉、[B]を入れて混ぜ合わせる。
6 5を角皿にのせ、空いたスペースにクッキングシートを敷いて3を並べる。
7 6を下段に入れる。

手動調理 → ウォーターグリル → 予熱なし・約22分 → スタート
2人分は約18分
8 加熱後、高野豆腐を器に盛り、耐熱容器のあんをよく混ぜてかける。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0797
焼き魚３種,,,,11分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0613.jpg,"塩ざけ(半分に切る): 1切れ(80g)
さわらのみそ漬け(半分に切る): 1切れ(80g)
塩さば(半分に切る): 1/2切れ(50g)
マヨネーズ: 大さじ1
青ねぎ: 1本","1 水タンクに水を入れる。(水位1以上)
2 《塩ざけ》アルミホイルを敷いて、表側を上にして並べる。
3 《さわらのみそ漬け》余分なみそをふき取る。アルミホイルを敷いて、表側を上にして並べる。
4 《さばのマヨネーズ焼き》身の上に[A]を等分にぬる。アルミホイルを敷いて、並べる。
5 234を角皿にのせ、下段に入れる。
お料理選択 → ヘルシオおすすめ → セットメニュー → モーニングセット・お弁当用おかず → お弁当用おかず(組み合わせ自在) → スタート → 弱め(※30秒以内に押す)
その他のお弁当用おかずと一緒に加熱できます
《お弁当用おかず(組み合わせ自在)》",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0613
焼き魚＆茶わん蒸し,2人分,約304kcal,3.6g,23分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0881.jpg,"さば: 2切れ(1切れ100g)
塩: 適量
干ししいたけ(水でもどす): 1枚
干ししいたけのもどし汁: 大さじ1
しょうゆ、砂糖: 各大さじ1/2
ささ身: 50g
酒、薄口しょうゆ: 各少々
えび: 2尾
かまぼこ: 2切れ
ぎんなん(缶詰): 4粒
卵: M1個
だし汁: 1カップ
塩: 少々
薄口しょうゆ: 小さじ1/2
みりん: 小さじ1","■しいたけを加熱する
1 干ししいたけは、半分に切って大きめの耐熱容器に[A]とともに入れ、ラップをせずに庫内中央に置く。(角皿は入れません)
レンジ → 600W・約50秒 → スタート
2 水タンクに水を入れる。(水位2)
3 魚は皮に切り目を入れ、両面に塩をふって約30分おき、出てきた水気をふき取る。
4 角皿の中央に油をぬった調理網1枚をのせ、魚の表側を上にして並べ、上段に入れる。
(上段)
5 ささ身は筋を取ってそぎ切りにし、酒と薄口しょうゆをふっておく。えびは尾を残して殻をむき、背ワタを取る。
6 卵をよく溶きほぐしてだし汁でのばし、塩、薄口しょうゆ、みりんを加えて混ぜ、こす。
7 蒸し茶わんに具を入れ、卵液を8分目まで注ぎ、アルミホイルでフタをする。
8 もう1枚の角皿に7を中央に寄せて並べ、下段に入れる。
(下段)

お料理選択 → ヘルシオおすすめ → セットメニュー →→ 焼き蒸し同時2段メニュー → 焼き魚&茶わん蒸し → 分量選択 → スタート
他にもこんなメニューが組み合わせ自由！
焼き魚バリエーション
《さわらの塩焼き》
さばの代わりにさわらの切り身にする。
《あじの開き》
※1～2人分のみです。
《さけのムニエル》
生ざけ2切(1切れ80g)は塩こしょうしてから、薄力粉大さじ1/2をまぶし、調理網に並べてから、バター小さじ1を等分にのせる。
《塩ざけ》
《塩さば》
《たいの姿焼き》
※分量選択画面で「3～4人分」を選びます。
＊下段で「茶わん蒸し2人分」と「赤飯2人分」を組み合わせることもできます。
茶わん蒸しバリエーション
※茶わん蒸しを《おこわ》、《カンタン煮物》、《蒸し野菜》に代えることもできます。
《茶わん蒸し(洋風)》
《茶わん蒸し(チーズ風味)》
《赤飯》
《山菜おこわ》
《里いもおこわ》
※もち米は1～2人分では1合、3～4人分では2合を調理網にはのせずに角皿にのせて、下段に入れる。
《カンタン煮物(白菜とツナのしょうゆ煮)》
白菜(ひと口大に切る：180g)と汁気をきったツナ(小1缶80g)、しょうゆ大さじ1を耐熱容器に入れ、下段に入れる。
《から揚げ＆蒸し野菜＆ゆで卵》 の蒸し野菜ができます。
※スタート後30秒以内に「弱め」を押します。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0881
焼き魚＆副菜2品＆ごはん,4人分,約289kcal,1.8g,35分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1054.jpg,"米: 2合(300g)
水(室温): 約400mL
塩さば: 4切れ(1切れ100g)
さつまいも、大根、にんじん: 合わせて約200g
サラダ油: 適量
はちみつ、黒ごま: 各適量
砂糖、酢: 各大さじ4
塩: 少々","※このメニューは、ダウンロード限定メニューです。
※ヘルシオを機器登録して、メニューをダウンロードして加熱します。
1 水タンクに水を入れる。(水位1以上)
■ごはんの準備
2 米は洗い、ザルに上げて水気をよくきってから金属製ボウル(直径18cm・高さ8cm)に入れ、分量の水を加えて30分～1時間つけておき、アルミホイルをすき間ができないようにきっちりかぶせる。
※米1～2合分が炊けます。米2合分を炊くときは、金属製ボウル2個に1合分ずつを用意します。(2合分を1つのボウルに入れて炊くことはできません。)
※水は、20℃以上にします。冬場など水温が低い場合は、ぬるま湯を足すなど調整してから米をつけてください。
■おかずの準備
3 さばは、皮に切り目を入れる。さつまいもは皮をむかず、スティック状にきり、ビニール袋に入れる。サラダ油を加えてまんべんなく油をまぶす。大根、にんじんは、いちょう切りにし、型を作ったアルミホイルにのせる。
4 角皿に油をぬった調理網2枚をのせ、皮を上にしたさばを中央寄りに並べる。さばの両端に3の野菜を並べる。
5 4を上段に入れる。
6 もう1枚の角皿の奥側に2をのせ、下段に入れる。
(上段)

(下段)

※写真の付属品は、実際のものとは異なります。
COCORO KITCHEN → ダウンロードメニュー → 焼き魚＆副菜2品＆ごはん → 決定 → スタート
7 加熱後、さつまいもは、はちみつとごまであえます。にんじんと大根は熱いうちに甘酢に漬けます。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1054
焼き魚＆焼きなます＆さつまいものあえ物,4人分,約270kcal,1.9g,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1039.jpg,"塩さば: 4切れ(1切れ100g)
さつまいも、大根、にんじん: 合わせて約600gまで
サラダ油: 適量
はちみつ、黒ごま: 各適量
砂糖、酢: 各大さじ4
塩: 少々","1 水タンクに水を入れる。(水位1以上)
2 さばは、皮に切り目を入れる。さつまいもは皮をむかず、スティック状にきり、ビニール袋に入れる。サラダ油を加えてまんべんなく油をまぶす。
大根、にんじんはいちょう切りにし、アルミホイルにのせる。
3 角皿に油をぬった調理網2枚をのせ、皮を上にしたさばを中央寄りに並べる。さばの両端に2の野菜を並べる。
4 3を上段に入れる。

※写真の付属品は、実際のものとは異なります。
まかせて調理 網焼き・揚げる → スタート
5 加熱後、さつまいもは、はちみつとごまであえる。にんじんと大根は熱いうちに甘酢に漬ける。
＜まかせて調理について＞
お好きな材料に変更しても、レシピと異なる分量でも、冷凍のままでも加熱できます。
※食材の種類や形状などによって仕上がりが変わります。食材の総重量は1kgまでを目安にしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1039
焼きそば,4人分,約487kcal,3.9g,19分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0553.jpg,"焼きそば用蒸しめん(粉末ソース付き): 4玉(1玉150g)
もやし: 100g
キャベツ: 200g
ピーマン: 2個(60g)
にんじん: 50g
豚バラ薄切り肉: 150g","1 水タンクに水を入れる。(水位1以上)
2 にんじんは薄めの短冊切り、ピーマンは細切り、キャベツは3cmの角切り、肉はひと口大に切る。
3 角皿にクッキングシートを敷き、めんをのせ、その上に野菜を材料表の順に平らに広げ、付属のソースをまんべんなくかけ、肉を広げてのせる。
4 3を上段に入れる。
まかせて調理 炒める → スタート
手動でするときは：下段に入れ、ウォーターグリル・予熱なしで19分※自動加熱とは、棚位置が異なります。
5 加熱後、よく混ぜる。
＜まかせて調理について＞
お好きな材料に変更しても、レシピと異なる分量でも、冷凍のままでも加熱できます。
※食材の種類や形状などによって仕上がりが変わります。食材の総重量は1kgまでを目安にしてください。
詳しくは、《コチラ！》",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0553
焼きそば＆フライあたため,4人分,,100g,23分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R2248.jpg,"焼きそば用蒸しめん(粉末ソース付き): 4玉(1玉150g)
もやし: 100g
キャベツ: 200g
ピーマン: 2個(30g)
にんじん: 1/2本(25g)
豚バラ薄切り肉: 150g
市販の天ぷらやフライ: 約400g","1 水タンクに水を入れる。(水位1以上)
■焼きそば
2 キャベツは3cm角に切り、ピーマンは細切り、にんじんは短冊切りにする。豚肉はひと口大に切る。角皿にクッキングシートを敷く。
3 めんを角皿に広げてのせる。その上に野菜を材料表の順に広げ、粉末ソースをまんべんなくふりかけ肉を広げてのせる。上段に入れる。
※野菜と肉はめんの上に平らに広げてのせてください。
※角皿にのせる順番を間違えると材料が焦げたり、うまく仕上がらないことがあります。
(上段)

■フライあたため
4 揚げ物は調理網2枚をのせた角皿に並べて下段に入れる。

まかせて調理 炒める → 下段で同時調理 → +惣菜あたため → スタート
5 加熱後、焼きそばはよく混ぜ合わせる。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R2248
焼きそば＆蒸し野菜,2人分,約589kcal,4.1g,16分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0883.jpg,"焼きそば用蒸しめん(粉末ソース付き): 2玉(1玉150g)
もやし: 50g
キャベツ(3cm角切り): 100g
ピーマン(細切り): 1個(30g)
にんじん(短冊切り): 25g
豚バラ薄切り肉(ひと口大に切る): 75g
酢: 小さじ1/2
水: 120mL
卵: M2個
アスパラ、ブロッコリー、キャベツ(ひと口大に切る): 合計で200g","※このメニューは、ダウンロード限定メニューです。
※ヘルシオを機器登録して、メニューをダウンロードして加熱します。
ご注意：卵の加熱は、レンジ加熱では絶対にしないでください。
1 水タンクに水を入れる。(水位2)
■焼きそばの準備
2 角皿にアルミホイルを敷く。
3 めんをほぐして2の角皿に広げてのせる。その上に野菜を材料表の順に広げ、粉末ソースをまんべんなくふりかける。肉を写真のように、奥に広げて並べ、上段に入れる。
※角皿にのせる順番を間違えると材料が焦げたり、うまく仕上がらないことがあります。
(上段)

■卵と蒸し野菜の準備
4 ココット型2個をもう1枚の角皿の手前にのせ、[A]を等分に入れてから卵を割り入れ、金属製のザルに入れた野菜ものせて下段に入れる。
※ザルの代わりにクッキングシートにのせてもよいでしょう。
(下段)

COCORO KITCHEN → ダウンロードメニュー → 焼きそば＆蒸し野菜 → 決定 →分量選択 → スタート
5 加熱後、ココット型の湯を捨てる。焼きそばは、全体をよく混ぜて、めんと粉末ソースをなじませてから卵をのせる。
※ココット型の湯は熱くなっていますのでミトンを使ってココット型を取り出し、やけどに注意してください。
他にもこんなメニューが組み合わせ自由！
焼きそばバリエーション
《塩カルビ焼きそば》
焼きそば用蒸しめん(粉末ソース付き)…4玉(1玉150g)
もやし…100g
ニラ(ざく切り)…1/2束(50g)
キャベツ(3cm角切り)…200g
にんじん(短冊切り)…50g
牛カルビ(焼き肉用)…150g
焼きそばの材料を代えて、同じように並べ、上段に入れる
※ただし、肉は上の写真(上段)のように奥にのせる。
蒸し野菜バリエーション
野菜をいろいろ代えてどうぞ
ズッキーニ、パプリカなど(ひと口大に切る)
かぼちゃなど(薄切り)",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0883
