メニュー名,メニュー番号,分量,カロリー,調理時間,画像URL,材料,作り方,URL
シュウマイ(あたため),,,,,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4090.jpg,,,https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4090
シュウマイ(手作り),0287,,約215kcal(5個分),20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4287.jpg,"豚ひき肉: 250ｇ
塩: 小さじ1/3
玉ねぎ(みじん切り): 小1個(150g)
しょうゆ: 小さじ1と1/2
ごま油: 小さじ1と1/2
片栗粉: 小さじ1と1/2
砂糖: 小さじ1と1/2
こしょう: 少々
おろししょうが: 少々
シュウマイの皮: 15枚
片栗粉(同量の水で溶く): 適量","※この作りかたは、ホットクックを無線LAN接続し、メニュー番号で検索する場合を記載しています。
1 ボウルに豚ひき肉と塩を入れてしっかり練り、[A]を加えてよく混ぜ合わせる。
2 15等分にして丸め、水溶き片栗粉をつけながら、細切りにしたシュウマイの皮をまわりにつける。
3 内鍋に水200mLを入れ、本体にセットする。
4 蒸しトレイに2を並べ、まぜ技ユニットが本体にセットされていないことを確認し、3の本体にセットする。
※蒸しトレイにチンゲン菜などの葉物野菜やクッキングシートを敷いてからシュウマイを並べてもよいでしょう。


メニューを選ぶ → メニュー番号で探す → No.0287(シュウマイ(手作り)) → 調理を開始する → スタート
シュウマイの皮で包む場合(シュウマイの皮を細切りにしない場合)
・上記、作りかたの2を下記にする。
親指と人差し指で輪を作り、シュウマイの皮をのせて輪の中に押し込み、具を入れるくぼみを作る。具をスプーンかナイフで皮のくぼみに押し込み、皮の端を具にはりつけるようにして形作る。シュウマイの上部を水溶き片栗粉に軽くひたす。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4287
シュクメルリ(ホットクック部),0511,材料：2人分,,40分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4511.jpg,"にんにく: 40g
鶏もも肉: 250g
バター: 30g
さつまいも: 200g
片栗粉: 10g
牛乳: 200mL
パセリ: お好みの量
イタリアンハーブソルト: 2.5g※","1 まぜ技ユニットを本体にセットする。
2 さつまいもを洗い、1.5cmぐらいの輪切りにする。
3 2後、水に15分ほどさらす。その後水気を切る。
4 鶏もも肉を2口ほどのサイズにカットする。
5 4をイタリアンハーブソルトと一緒に入れ、もみ込む。
6 5に片栗粉を入れ、もみ込む。
7 6を内鍋に入れる。
8 にんにくをつぶす。
9 内鍋に、バター、さつまいも、にんにくを入れる。
10 内鍋を本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0511(シュクメルリ(ホットクック部)) → 調理を開始する → スタート
11 10後、牛乳を入れ、軽く混ぜる。
とりけし → 手動で作る → スープを作る(まぜない) → 2～3分 → →スタート
12 11後、軽く混ぜてパセリを入れる。
★このレシピは、「ホットクック部」に投稿されたレシピです。
[レシピ提供]　：　snowbkt(@snowbkt)さん　　※KN-HW10Eにて投稿
ホットクック部とは・・・
ユーザー同士で情報交換ができる！公式ファンコミュニティです。
詳しくはこちら！↓",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4511
しょうがのサッと煮,0045,,約299kcal(全量),20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4045.jpg,"しょうが(細切り): 200g
生しいたけ(薄切り): 6枚
酒: 大さじ3
しょうゆ: 大さじ3
砂糖: 大さじ2
みりん: 大さじ2","1 しょうがは塩(分量外)でもんで約30分おいた後、熱湯で洗い、水気をきる。
※辛みを抑えたいときは、２～3回洗ってもよいでしょう。
2 内鍋に全材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0045(しょうがのさっと煮) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4045
しょうがのスープ,0259,材料：4人分,約70kcal,25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4259.jpg,"しょうが(薄切り): 20ｇ
だいこん(薄い短冊切り): 100ｇ
にんじん(薄い短冊切り): 60ｇ
生しいたけ(薄切り): 2枚
豚もも薄切り肉(細切り): 100ｇ
コンソメ(顆粒): 大さじ1
水: 3カップ
薄口しょうゆ: 大さじ1
酒: 大さじ2
こしょう: 少々
青ねぎ(小口切り): 2本
ごま油: 大さじ1","1 まぜ技ユニットを本体にセットする。
2 内鍋に［A］以外の全材料を、材料表の順に入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0259(しょうがのスープ) → 調理を開始する → スタート
3 加熱後、［A］を加えて混ぜる。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4259
しょうゆ枝豆,0260,材料：4人分,約60kcal,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4260.jpg,"枝豆: 300ｇ
塩: 大さじ1
薄口しょうゆ: 大さじ1
昆布茶: 小さじ2
水: 100ｍＬ","1 まぜ技ユニットを本体にセットする。
2 枝豆は塩でよくもむ。
内鍋に全材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0260(しょうゆ枝豆) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4260
しょうゆ麹,0119,,約714kcal(全量),1分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4119.jpg,"米麹(乾燥・一粒ずつにばらしておく): 200g
水: 100mL
しょうゆ: 200mL","1 内鍋、内ぶた、まぜ技ユニット、材料をかき混ぜるスプーンなどは、アルコール消毒または煮沸消毒(下記ポイント参照)して冷ましておく。
2 まぜ技ユニットを本体にセットする。
3 内鍋に、塩麹と同じようにクッキングシートを敷き、全材料を入れてよく混ぜ合わせ、本体にセットする。
＊30cm×30cmくらいの大きさのクッキングシートを、材料が漏れたりあふれたりしないように敷いてください。

メニューを選ぶ → メニュー番号で探す → No.0119(しょうゆ麹) → 調理を開始する → スタート
※加熱後は別の容器に移しかえ、内鍋を洗ってください。
発酵・低温調理について※お作りになる前に必ずお読みください
●温度設定：自動調理の発酵・低温調理は、加熱スタート後1分以内であれば温度の変更ができます(±３℃まで)。また、食材や調理環境によっては、調理温度と設定温度に差がある場合があります。
●保存：できあがった食品は、内鍋に入れたまま放置せず、すぐに取り出してください。塩麹や手作りみそなどの発酵食品以外は冷蔵室で保存の上、1～2日以内を目安に食べきってください。
●食材：新鮮なものを使用し、生ものを取り扱う際は手袋などをして直接触れないよう衛生面に注意して調理してください。
●ジッパー付き食品保存袋を使用する場合、下記項目をお読みのうえ、食品の漏れや熱による溶け、焦げなどに注意して正しくお使いください。
・ジッパー付き食品保存袋はポリエチレン製の耐熱温度100℃、厚さ0.06mm以上のものをご使用ください。
・食材を入れた後、空気をしっかり抜き、上部が上になるように内鍋に入れてください。
・内鍋に必ず水を水位MAXまで入れ、蒸しトレイをセットしてから加熱してください。
・各メニューに記載の分量や使い方などを変更すると、うまく仕上がらない場合があるため、記載通りに調理してください。
・記載している以外の使いかたは、蒸気・内容物の噴き出しややけどの原因になる恐れがありますので、注意してください。
煮沸消毒について
・内鍋に直接食材を入れて作る発酵・低温調理メニューを調理するときは、内鍋、内ぶた、まぜ技ユニット、加熱前に材料をかき混ぜるスプーン等は煮沸消毒をしてから使います。
1 内ぶた、まぜ技ユニットは本体にセットする。内鍋に水約200mLとスプーン等を入れ、本体にセットする。
手動で作る → スープを作る → まぜない → 約20分 → スタート
2 加熱後、内鍋を本体から取り出して湯を捨て、ラップをして冷ます。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4119
初代割烹高橋監修・割烹料理店の筑前煮(ヘルシオデリ),,材料：3人分,約190kcal,55分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000090.jpg,"鶏肉（たれ入り）: 1パック
野菜: 1パック
いんげん: 1パック","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※まぜ技ユニットは不要です。
※いんげんは加熱中、常温に置いておきます。
※鶏肉（たれ入り）はほぐせるやわらかさになるまで解凍する。（目安：水をはったボウルに入れて5分）　全解凍の必要はありません。
1 内鍋にいんげん以外の材料を入れ、本体にセットする。
手動で作る → 煮物を作る(まぜない） → 約25分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。
2 加熱後、やけどに気をつけながらふたを開け、いんげんを加え、ふたをして数分おく。
※加熱後の具材は崩れやすいので十分注意して取り出してください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000090
白身魚としめじのサッと煮,0344,材料：4人分,約90kcal,30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4344.jpg,"白身魚(たら、さわらなど): 4切れ(320ｇ)
しめじ: 1パック(100ｇ)
酒: 大さじ2
みりん: 大さじ3
しょうゆ: 小さじ2
塩: 少々","1 白身魚はひと口大に切り、しめじは石づきを取って、小房に分ける。
2 内鍋の底にクッキングシートを敷き、半量のしめじを入れ、白身魚を入れる。その上に残りのしめじを入れ、［A］をかけて、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0344(白身魚としめじのさっと煮) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4344
白身魚と野菜のとろみあえ(離乳食),0456,,,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4456.jpg,"白身魚: 40g
ブロッコリー: 70g
だし汁: 200mL
片栗粉: 小さじ2
水: 大さじ1","1 まぜ技ユニットを本体にセットする。
2 白身魚とブロッコリーを食べやすい大きさに切る。
3 内鍋に2とだし汁を入れ、本体にセットする。
※だし汁は、だしや野菜だしを使用するとよいでしょう。
《だし》
《野菜だし》
メニューを選ぶ → メニュー番号で探す → No.0456(白身魚と野菜のあんかけ(離乳食)) → 調理を開始する → スタート
4 加熱後、分量の水で溶いた水溶き片栗粉を加え、3分延長する。
■離乳食レシピについて
・作りやすい分量で記載しています。お子様の成長に合わせた量を与えてください。
・食べやすい温度や形状になっているかを確認し、食べさせてあげましょう。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4456
シンガポールチキンライス（海南鶏飯）(ヘルシオデリ),,材料：3人分,約227kcal,70分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000120.jpg,"鶏肉（たれ入り）: 1パック
後がけたれ: 1パック
白米: 2合
水: 250mL","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※後がけたれは加熱中常温に置いておきます。
※まぜ技ユニットは不要です。
1 白米を洗い、水を切る。
2 内鍋に白米2合、水250ｍLを入れて鶏肉（たれ入り）をのせ、本体にセットする。
手動で作る → 煮物を作る(まぜない） → 45分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。
3 加熱後、鶏肉を取りよけ、ごはんを混ぜて器に盛る。鶏肉は皮目を上にしてスライスし、ごはんと共に盛り付ける。
4 最後に後がけたれを鶏肉にかける。
※炊飯器で炊く場合も同様の手順で炊飯してください。炊飯器によって炊き加減と調理時間が変わります。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000120
新鮮だから美味しい！肉厚さばの味噌煮（善光寺門前みそ使用）(ヘルシオデリ),,材料：2人分,約466kcal,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000012.jpg,さば(みそだれ入り): 2パック,"※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※さば（みそだれ入り）は、内鍋に入るやわらかさになるまで解凍する。（目安：流水5分） 全解凍の必要はありません。
※まぜ技ユニットは不要です。
1 内鍋に全材料を入れ、本体にセットする。
※さばの腹としっぽを互い違いに入れてできるだけ材料が重ならないようにしてください。
メニューを選ぶ → 食材で探す → 魚介 → 魚 → さばのみそ煮 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000012
シンプルちぎりパン(cotta),0338,,,1時間10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4338.jpg,"小麦が香るモチモチ食パンミックス(cotta): 260ｇ
インスタントドライイースト: 3ｇ
水: 150g","1 仕込み水は冬は人肌に温める。
2 ボウルに、ミックス粉とインスタントドライイーストを入れ、ゴムベラで混ぜ合わせたら、仕込み水を入れ粉っぽさがなくなるまでゴムベラで混ぜ合わせる。
3 粉っぽさがなくなったらペストリーボードに生地を取り出し、片手で台にこすりつけるようにこねる。もう片方の手はカードで生地を集めるのに使います。汚さない方が後で便利です。
4 広がった生地はカードで集めて、さらに片手で台にこすりつけ、粉と水がなじんで一体になるまでこすりつける。
5 3と比べると、ごつごつした生地が均一になって広がる生地が狭くなり、台からはがれ始めたら叩きこねに移る合図。
6 5の生地の端を持って台に打ち付ける。
7 生地を引っぱりながら向こう側へ折る→90度向きを変えて台に打ち付けて向こう側へ折るを繰り返し、生地がある程度薄く伸ばせるようになるまでこねる。※この時点ではまだ生地に伸展性があまりないので、きっちり折りたためなくてもOK。同じ向きばかりにならないようにくらいの気持ちで向きを変えて、叩きこねできたらOKです。
8 くり返し叩きこねした生地を丁寧にゆっくり引っ張ると薄く伸びます。ここまでこね続けます。
9 内鍋の内側に薄くオイルスプレー(分量外)をして、丸めなおした生地を入れ、本体にセットし、1次発酵をさせる。
手動で作る → 発酵・低温調理をする → まぜない → 35℃ → 約35分 → 調理を開始する → スタート
※こね上げ温度が28℃より低い時は温度設定時間を35分以上で設定します。
10 1次発酵が終わった生地を6分割し、軽くガス抜きをして丸めなおす。
11 内鍋の内側に薄くオイルスプレー(分量外)し、10の生地を入れ、本体にセットし、2次発酵をさせる。
手動で作る → 発酵・低温調理をする → まぜない → 35℃ → 約35分 → 調理を開始する → スタート
12 上面に強力粉(分量外)をふってふたを閉め、焼き上げる。
メニューを選ぶ → メニュー番号で探す → No.0338(シンプルちぎりパン(cotta)) → 調理を開始する → スタート
無線LAN接続をしていないときは：手動で作る → ケーキを焼く → 約1時間 → スタート
13 加熱後、ミトンなどを使って内鍋から取り出す。
※加熱後、ふたから水滴が落ちてくる可能性があるので、やけどに気をつけて、キッチンペーパーなどでふたの内側を拭くとよいでしょう。
※サンドイッチにして食べるとリースのようでおすすめです。
★このレシピは、製菓製パン材料の通販サイトcottaとのコラボメニューです。
[レシピ提供]　：　あいりおーさん
あいりおーさんのご紹介はこちら ↓


必要材料はこちらでご購入いただけます　↓

※cottaに会員登録が必要です。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4338
シーチキンと玉ねぎごろっとおみそ汁,0744,材料：2人分,約291kcal,25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4744.jpg,"はごろもフーズ　シーチキンＬ: 1缶(140g)
玉ねぎ: 1個(200g)
にんじん: 1/2本(100g)
しめじ: 50g
もめん豆腐: 1/4丁
水: 300mL
みそ: 大さじ2","1 まぜ技ユニットを本体にセットする。
2 玉ねぎは半分に切り、にんじんは小さめの乱切り、しめじは石づきを取り小房に分ける。もめん豆腐は食べやすい大きさに切る。
3 内鍋に2、シーチキン(油ごと)、水、みそを入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0744(シーチキンと玉ねぎのごろっとおみそ汁) → 調理を開始する → スタート

★このレシピは「うちれぴ」とのコラボレーションによる、はごろもフーズ株式会社ご提供レシピです。
「シーチキンＬ」について、詳しくは画像をタップしてください。



は、はごろもフーズ株式会社の登録商標です。

「うちれぴ」連携について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4744
シーチキントマトパスタ,0741,材料：2人分,約400kcal,30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4741.jpg,"はごろもフーズ　Carboff　ロングパスタ: 160g
オリーブオイル: 大さじ2
玉ねぎ(みじん切り): 1/2個(100g)
にんにく(みじん切り): 1かけ(10g)
水: 50ｍL
トマトの水煮(缶詰・カット): 1缶(400g)
塩: ふたつまみ(約2g)
砂糖: ふたつまみ(約2g)
はごろもフーズ　シーチキンマイルド: 2缶(140g)
パセリ(みじん切り): 適量","1 まぜ技ユニットを本体にセットする。
2 内鍋に半分に折ったCarboff　ロングパスタ、オリーブオイルを入れ、混ぜ合わせる。
3 2に玉ねぎ、にんにく、[A]の順に入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0741(シーチキントマトパスタ) → 調理を開始する → スタート
4 器に盛りつけ、パセリをかける。

★このレシピは「うちれぴ」とのコラボレーションによる、はごろもフーズ株式会社ご提供レシピです。
はごろもフーズからのおすすめポイント
糖質50％OFF、ゆで時間７分のパスタを使用しております。
パスタにオリーブオイルを混ぜることにより、麺と麺がくっつかなくなります。
生のパセリが無い場合は、「乾燥パセリ」でもOKです。

「Carboff　ロングパスタ」について、詳しくは画像をタップしてください。


「シーチキンマイルド」について、詳しくは画像をタップしてください。



は、はごろもフーズ株式会社の登録商標です。

「うちれぴ」連携について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4741
シーフードカレー,0426,材料：4人分,約493kcal,1時間5分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4426.jpg,"トマト(角切り): 3個(450ｇ)
玉ねぎ(みじん切り): 2個(400ｇ)
えび: 8尾(1尾20ｇ)
いか: 1杯(250ｇ)
ほたて: 4個
にんにく、しょうが(すりおろす): 各適量
市販のカレールウ: 4～5皿分","1 まぜ技ユニットを本体にセットする。
2 えびは、殻をむき、背ワタを取る。いかは、内蔵を抜いて水洗いし、食べやすい大きさに切る。ほたては、大きい場合は半分に切る。
3 内鍋に材料表の順に全材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0426(シーフードカレー) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4426
シーフードクリームリゾット,0499,材料：4人分,約284kcal,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4499.jpg,"米: 1合(150g)
えび(殻をむき、背ワタを取る): 100g
いか(2cm角に切る): 80g
ベーコン(みじん切り): 1枚
マッシュルーム(4等分に切る): 6個(80g)
パプリカ(黄)(1.5cm角に切る): 1/2個
玉ねぎ(みじん切り): 1/4個(50g)
おろしにんにく: 小さじ1/2
バター: 15g
水: 300mL
白ワイン: 大さじ2
コンソメ(顆粒): 小さじ2
塩、こしょう: 各少々
粉チーズ: 大さじ1
生クリーム: 50mL
粉チーズ: 適量
イタリアンパセリ: 適量
粗びきこしょう: 適量","1 まぜ技ユニットを本体にセットする。
2 米は洗って水気をきり、内鍋に入れる。
3 2に仕上げ用とトッピング用以外の残りの材料を入れ混ぜ合わせ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0499(シーフードクリームリゾット) → 調理を開始する → スタート
4 加熱後、仕上げ用の材料を入れて混ぜる。
5 器に盛り、好みでトッピング用材料をふりかける。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4499
シーフードのクリームパスタ,0089,材料：4人分,約561kcal,25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4089.jpg,"えび(殻と背ワタを取る): 8尾(1尾20g)
いか(輪切り): 100g
玉ねぎ(薄切り): 1/2個(100g)
アスパラガス(5cm長さに切る): 4本
薄力粉: 大さじ2
スパゲティ(7分ゆで・太さ1.6mmのもの): 240g
オリーブオイル: 大さじ2
コンソメ(顆粒): 大さじ2
塩、こしょう: 各少々
水: 1L
生クリーム: 100mL
粉チーズ: 大さじ2","1 まぜ技ユニットを本体にセットする。
2 ビニール袋に玉ねぎとアスパラガスを入れ、薄力粉を加えて袋を振り、まんべんなくまぶす。
3 スパゲティを半分に折って内鍋に入れ、オリーブオイルをからめたあと、2、えび、いか、[A]を加える。
4 3を本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0089(シーフードのクリームパスタ) → 調理を開始する → スタート
5 加熱後、[B]を加えて混ぜる。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4089
治部煮,0203,材料：4人分,約171kcal,25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4203.jpg,"鶏もも肉: 1枚(250ｇ)
薄力粉: 大さじ1
にんじん(1cm厚さの輪切り): 1/2本
生しいたけ(石づきを取る): 4枚
だし汁: 50mL
酒: 大さじ1
みりん: 大さじ1
しょうゆ: 大さじ1
砂糖: 大さじ1
ほうれん草: 適量
わさび: 適量","1 まぜ技ユニットを本体にセットする。
2 鶏もも肉をひと口大に切ってビニール袋に入れ、薄力粉を加えて袋を振り、まんべんなくまぶす。
3 内鍋に2とにんじん、生しいたけ、［A］を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0203(治部煮) → 調理を開始する → スタート
4 加熱後、器に盛り、ゆでたほうれん草とわさびを添える。
※にんじんやしいたけを飾り切りしてもよいでしょう。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4203
じゃがいもと鶏肉のおかか煮,0728,材料：4人分,,25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4728.jpg,"じゃがいも: 6個(900g)
鶏もも肉: 1枚(250g)
丸天醤油　かつおしょうゆ: 1/2カップ
砂糖: 大さじ2
酒: 1/2カップ
みりん: 大さじ2
かつお節: 4パック","1 まぜ技ユニットを本体にセットする。
2 じゃがいもは皮をむいてひと口大に切る。鶏もも肉もひと口大に切る。
3 内鍋にじゃがいも、鶏もも肉と[A]を入れる。
メニューを選ぶ → メニュー番号で探す → No.0728(じゃがいもと鶏肉のおかか煮) → 調理を開始する → スタート
4 加熱後、かつお節を加えて延長で3分加熱する。

★このレシピは「うちれぴ」とのコラボレーションによる、日本丸天醤油株式会社ご提供レシピです。
丸天醤油からのおすすめポイント
ゆでた絹さやをトッピングすると彩りよく仕上がります。

「かつおしょうゆ」について、詳しくは画像をタップしてください。


「うちれぴ」連携について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4728
じゃがいもとピーマンのオイスターソース炒め(ホットクック部),0502,材料：4人分,,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4502.jpg,"ピーマン: 1袋(4個)
じゃがいも: 1個(130g)
オイスターソース: 大さじ1/2","1 まぜ技ユニットを本体にセットする。
2 ピーマンは細切りにする。
3 じゃがいもは太めのせん切りにして水にさらす。
4 内鍋に全材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0502(じゃがいもとピーマンのオイスターソース炒め(ホットクック部)) → 調理を開始する → スタート
★このレシピは、「ホットクック部」に投稿されたレシピです。
[レシピ提供]　：　とろみ(@torominchi)さん　　※KN-HW16Dにて投稿
ホットクック部とは・・・
ユーザー同士で情報交換ができる！公式ファンコミュニティです。
詳しくはこちら！↓",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4502
じゃがいもとれんこんの炒め煮,0258,材料：4人分,約198kcal,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4258.jpg,"れんこん(薄切り): 200g
じゃがいも(厚さ7mmの短冊切り): 2個
ベーコン: 4枚
白ワイン: 大さじ1
バター: 大さじ2
塩、こしょう: 少々
コンソメ(顆粒): 小さじ1","1 まぜ技ユニットを本体にセットする。
2 内鍋に、全材料を材料表の順に入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0258(じゃがいもとれんこんの炒め物) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4258
じゃがいもの甘辛炒め,0141,材料：4人分,約160kcal,12分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4141.jpg,"じゃがいも(細切り): 2個(300g)
玉ねぎ(薄切り): 1/2個(100g)
ピーマン(細切り): 1個
にんじん(細切り): 1/2本(100g)
しいたけ(細切り): 2枚
しょうが(細切り): 1かけ
牛肉こま切れ(細切り): 100g
しょうゆ: 大さじ2
酒: 大さじ1
みりん: 大さじ1
砂糖: 小さじ2
塩、こしょう: 各少々","1 まぜ技ユニットを本体にセットする。
2 内鍋に牛肉と[A]以外の全材料を入れ、牛肉をほぐし入れる。よく混ぜ合わせた[A]を加え、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0141(じゃがいもの甘辛炒め) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4141
じゃがいものアンチョビチーズクリームソース,0465,材料：4人分,約111kcal,25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4465.jpg,"じゃがいも: 2個(300g)
玉ねぎ: 1/2個(100g)
クリームチーズ: 50g
牛乳: 100mL
おろしにんにく: 小さじ1/2
アンチョビ: 10g
中華だしの素: 小さじ1/2
あらびき黒こしょう: 少々
ドライパセリ: 少々","1 まぜ技ユニットを本体にセットする。
2 じゃがいもは皮をむいて芽をとり1個を8等分に切り、玉ねぎは繊維に沿ってスライスし、アンチョビは細かく切る。
3 内鍋に2と[A]を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0465(じゃがいものアンチョビチーズクリームソース) → 調理を開始する → スタート
4 加熱後、あらびき黒こしょうとドライパセリを振りかけて仕上げる。

★このレシピは、国際薬膳学院とのコラボメニューです。
レシピ考案：国際薬膳学院 　赤堀真澄先生
献立の薬膳的効能
アンチョビの発酵の旨味は火を通すことと、クリーミーなものに合わせることでより一層引き立ちます！
クリームチーズの発酵の力も見逃せません。
ホットクックで調理すると材料をそのまま入れるだけ！
手軽なチーズソースとして、バゲットにつけてもおすすめ。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4465
じゃがいものガレット,0284,材料：4人分,約271kcal,25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4284.jpg,"じゃがいも: 大2個(400g)
ベーコン: 4枚
ピザ用チーズ: 100g
オリーブオイル: 大さじ1
薄力粉: 小さじ1
塩、こしょう: 各適量","1 じゃがいもとベーコンは細切りにする。ただし、じゃがいもは水にはさらさない。
2 内鍋に全材料を入れよく混ぜ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0284(じゃがいものガレット) → 調理を開始する → スタート
3 加熱後、内鍋から取り出す。
※加熱後、取り出すときは、ゴムべらなどを側面に入れてはがし、内鍋に入るサイズの皿にラップを敷いて、皿を当ててひっくり返し取り出す。
※取り出す際は、やけどに注意してください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4284
じゃがいものポタージュ,0011,材料：4人分,約98kcal,40分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4011.jpg,"じゃがいも(2～3cmの角切り): 2個(300g)
玉ねぎ: 1/2個(100g)
コンソメ(顆粒): 小さじ2
水: 200mL
牛乳: 200mL
塩: 適量","1 まぜ技ユニットを本体にセットする。
2 玉ねぎを下記のように、横薄切りにする。

※玉ねぎを横薄切りにすることで繊維が断ち切られ、加熱されやすくなります。
3 内鍋に[A]を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0011(じゃがいものポタージュ) → 調理を開始する → スタート
4 途中、報知音が鳴れば、ふたを開け、やけどに気をつけて内鍋に牛乳を加える。
※残り時間が約６分のとき、報知音が鳴り、「食材を加えてください」の表示が出ます。
※予約調理のときは、予約設定時間に「食材を加えてください」の表示が出ます。
※ふたを開ける際は、とりけしキーは押さないでください。
ふたを閉めてスタートする。
5 加熱後、塩で味を整える。
※少し粒が残る仕上がりになります。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4011
